                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3915,                0.59744,                  1.048,                0.92294,                0.91488,                0.95326,                0.53518,                  1.522,                0.61003,                 1.0398,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3899,                0.59758,                 1.0494,                0.92626,                0.91502,                 0.9539,                0.53651,                 1.5192,                0.60921,                 1.0389,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.3783,                0.59671,                 1.0447,                 0.9232,                0.91699,                0.95308,                0.53378,                  1.519,                 0.6103,                  1.041,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.3902,                0.59941,                 1.0477,                0.91868,                0.91862,                0.95235,                0.53533,                 1.5192,                0.60778,                 1.0401,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.3818,                0.60268,                  1.037,                0.92568,                0.91001,                 0.9533,                0.53417,                 1.5219,                0.60615,                 1.0414,              0.0001982,              0.0001982,              0.0001982
                     90,                  1.376,                0.59297,                 1.0432,                0.91689,                0.92069,                0.95201,                0.53384,                 1.5193,                0.60798,                 1.0413,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.4206,                0.59865,                   1.09,                0.92367,                0.91258,                0.95175,                0.53169,                 1.5182,                0.60897,                  1.041,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.3901,                0.59031,                  1.073,                0.92202,                0.91582,                0.95254,                0.53118,                 1.5215,                0.61204,                 1.0421,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.3901,                0.58899,                 1.0739,                0.92154,                0.91586,                0.95296,                0.53168,                 1.5285,                  0.609,                 1.0455,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.3853,                0.58461,                  1.076,                 0.9229,                0.91485,                0.95073,                0.53155,                 1.5227,                 0.6055,                 1.0431,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.3748,                0.58158,                 1.0675,                0.92371,                0.91116,                0.95104,                 0.5333,                 1.5199,                0.60629,                 1.0437,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.3735,                0.58294,                 1.0707,                0.92458,                0.91032,                0.95211,                 0.5351,                 1.5166,                0.60408,                 1.0422,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.3719,                0.58432,                 1.0697,                0.91852,                0.91663,                0.95069,                0.53306,                 1.5229,                0.60473,                 1.0436,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.3681,                0.57964,                 1.0712,                0.92498,                 0.9158,                0.95352,                0.53256,                 1.5221,                0.60551,                 1.0438,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                  1.373,                 0.5778,                 1.0702,                0.92385,                0.91376,                0.95259,                0.53386,                 1.5227,                0.60471,                 1.0425,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.3602,                0.57434,                  1.068,                0.92361,                0.91137,                0.95154,                0.53492,                 1.5206,                0.60292,                 1.0426,             4.2584e-05,             4.2584e-05,             4.2584e-05
